question,answer,tags
"In one sentence, what operation does a language model perform?","Given a token sequence, produce a probability distribution over the next token. Everything else is that, repeated.",fde day01
Why does output length affect latency more than input length?,Output is generated autoregressively — one forward pass per token. Input is processed in a single largely-parallel pass.,fde day01
What does temperature actually modify?,How the sampler draws from the distribution — it scales the scores before normalisation. Low temperature exaggerates gaps; high temperature flattens them. It does not change what the model knows.,fde day01
Give two reasons `temperature=0` isn't a determinism guarantee.,GPU floating-point non-associativity under batching; provider-side model updates behind a stable name. (Also: some providers don't expose a true 0.),fde day01
Why does `SHP-202608-0041729` cost ~11 tokens when `detention` costs 1–2?,"The tokeniser never saw that string in training, so it falls back to splitting into small known fragments — letters, punctuation, digit groups.",fde day01
"Name the four layers, and give one thing that changes when you swap each.","Model (quality/cost/latency/context/cutoff) · Provider (auth, residency, limits, billing) · API shape (schema, tool-call encoding, streaming format) · SDK (ergonomics only).",fde day01
Is Claude-via-Bedrock a different model from Claude-via-Anthropic? What *is* different?,"Same model, same weights, same outputs. Different: contract, data residency, auth, rate limits, billing. This is the answer to ""our data can't leave the VPC.""",fde day01
Name three LLM failures that raise no exception.,Truncation at `max_tokens`; hallucination; wrong-but-plausible answers; silent context trimming. (Any three.),fde day01
"In a RAG workload, which side of the bill usually dominates, and where do you optimise first?","Input, typically ~4:1 in RAG. Optimise retrieval first — fewer, better chunks — which often improves quality at the same time. Shortening answers barely moves the bill.",fde day01
"Why is ""just use a bigger context window"" not a complete answer?",You still have to decide what fills it; attention degrades toward the middle of long contexts; and you pay for every token on every step of an agent loop.,fde day01
"Why does ""return JSON"" fail even on a strong model? Answer in terms of the sampler.",The sampler draws from a distribution your prompt only *conditions*. A schema instruction raises the probability of well-formed JSON; it never constrains the sampler.,fde day02
Name four distinct ways Level 1 output breaks a `json.loads`.,Fences; prose preamble; trailing commas; wrong types; invented enum values; missing fields; truncation at `max_tokens`. (Any four.),fde day02
"What exactly does constrained decoding guarantee, and what does it not?","Guarantees syntactic validity — the invalid token is masked out. Guarantees nothing about whether the values are true, complete, or drawn from the source.",fde day02
Why is Level 2 the default on client engagements rather than Level 3?,"You often don't control the model. Level 2 runs on any endpoint, including local models with no structured-output support, which is the common on-prem case.",fde day02
Why does field order in a pydantic model change output accuracy?,"Generation is autoregressive and unrevisable, so earlier fields condition later ones. Evidence and reasoning before the number changes ""guess then justify"" into ""locate then read off.""",fde day02
"What does the evidence-quote substring check prove, and what can still be wrong?",Proves provenance — the span exists verbatim in the source. Doesn't prove the span supports the claim; the model can quote a real sentence that says something else.,fde day02
"Two reasons the substring check reports false negatives, and the fix.","Unicode punctuation and whitespace differences. Normalise both sides — casefold, collapse whitespace, normalise punctuation — before comparing.",fde day02
State Little's Law and use it to convert `Semaphore(8)` at 1.2 s mean latency into RPM.,L = λ·W. 8 = λ × 1.2 → λ = 6.67 req/s = **400 RPM**.,fde day02
"A semaphore and a rate limiter bound different quantities. Which is which, and why do you need both?","Semaphore bounds in-flight requests (a pool); the rate limiter bounds arrivals per second (a bucket). Both, because the provider meters arrivals and tokens while your process is bounded by sockets and memory — and the mapping between them moves with latency.",fde day02
"Which HTTP failures do you retry, and which do you never retry? Give the rule, not a list.","Only transient *and* idempotent: 429, 500/502/503, connection resets. Never a 400, a 401, or a content-policy refusal — those fail identically forever, and retrying a 400 is retrying your own bug.",fde day02
Why does deterministic backoff make an outage worse?,"Every backed-off client returns at the same instant, so the recovering service takes a synchronised herd and fails again. Jitter spreads the return.",fde day02
"Name the four test patterns, and say which one is an alarm rather than a gate.","Schema, invariant, golden-fact, regression snapshot. The snapshot is the alarm — a delta means ""look at this,"" not ""block the merge.""",fde day02
"What does an embedding model return, and does its size depend on input length?","A fixed-length vector of floats (768/1024/1536/3072 depending on model). Size is fixed by the model, independent of input length.",fde day03
What does an individual dimension of an embedding mean?,"Nothing interpretable. Meaning lives in relative position across all dimensions, because the training objective constrains geometry, not coordinates.",fde day03
Write the formula for cosine similarity.,"cosine(a,b) = (a·b) / (|a|·|b|).",fde day03
"For unit-normalised vectors, how do Euclidean and cosine rankings relate? Why?","Identical rankings, because euclidean² = 2 − 2·cosine for unit vectors — a strictly decreasing function, so it can't reorder anything.",fde day03
"Explain topical vs. propositional similarity, and what it predicts about RAG failures.","Topical = same subject area. Propositional = same claim. Embeddings capture topical much more strongly, which is why RAG lands in the right document and the wrong paragraph.",fde day03
"Name three query types where dense retrieval fails, and say why for each.","Rare tokens/acronyms (near-arbitrary vectors); exact IDs (embeddings never do exact match); negation (tiny perturbation, inverted meaning); numeric comparison (no magnitude reasoning). Any three.",fde day03
"Why does ""not suitable"" embed close to ""suitable""?",One token changed out of many — the geometry barely moves while the meaning inverts.,fde day03
Chunk too small vs. chunk too large — what breaks in each direction?,Too small: the answer splits across boundaries and no chunk scores well alone. Too large: the embedding averages multiple topics and matches nothing sharply.,fde day03
"What does heading-path prefixing do, and why is it free?","Prepends the structural path into the chunk text before embedding, so disambiguating context is part of what gets embedded. Free because the headings already exist — no extra model call.",fde day03
"What do `M`, `ef_construction`, and `ef_search` trade against each other?",`M` = edges per node (recall vs. memory); `ef_construction` = build width (graph quality vs. build time); `ef_search` = query width (recall vs. query latency). All trade recall against a resource.,fde day03
Is a cosine score of 0.85 good? Defend your answer.,"Meaningless in isolation. You need the distribution of relevant vs. irrelevant pairs *for that model on that corpus*, and you pick the threshold where they separate.",fde day03
Why does today's lab make you write brute-force search before touching a vector database?,"It's the ground truth. Approximate indexes can miss true neighbours, and without an exact baseline you cannot tell an approximation miss from an embedding or chunking problem.",fde day03
State the four clauses of the RAG contract.,The answer is in the corpus (or the system refuses); retrieval surfaces it; the prompt makes it usable; the answer is attributable.,fde day04
"For each clause, name the experiment that tells you it's the broken one.",Ask an unanswerable question — does it refuse? Paste the correct chunk in by hand — does the answer become right? Reorder the same chunks — does the answer change? Substring-check every quote — what fraction verify?,fde day04
"Why is `INSUFFICIENT_CONTEXT` better than ""say if you don't know""? Give three reasons.",Machine-checkable string equality; unambiguous as an exact target; routable by the app and UI.,fde day04
